zipcode,zcopt,topic,url,whitelist,blacklist,image_prefix,page_number
10001,yes,thanksgiving,https://www.amazon.com/s?k=thanksgiving&i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=date-desc-rank&page=41&hidden-keywords=ORCA&qid=1629970145&ref=sr_pg_2,"thanksgiving,thanksgiving day,turkey,holiday,holidays,happy thanksgiving,Thankful,grateful,thanks","Fairy,Name,Stitch,Tinker Bell,Keep Calm,Mickey,Jeep,City,Temper,Pocket,birthday,january,february,march, april,may,june,july,august,september,december,,Boob,Whiskey,Premium,Kids,2020,bitch,bitches,slut,sluts",th3,20
10001,yes,thanksgiving,https://www.amazon.com/s?k=thanksgiving&i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=date-desc-rank&page=61&hidden-keywords=ORCA&qid=1629970145&ref=sr_pg_2,"thanksgiving,thanksgiving day,turkey,holiday,holidays,happy thanksgiving,Thankful,grateful,thanks","Fairy,Name,Stitch,Tinker Bell,Keep Calm,Mickey,Jeep,City,Temper,Pocket,birthday,january,february,march, april,may,june,july,august,september,december,,Boob,Whiskey,Premium,Kids,2020,bitch,bitches,slut,sluts",th4,20
10001,yes,thanksgiving,https://www.amazon.com/s?k=thanksgiving&i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=date-desc-rank&page=81&hidden-keywords=ORCA&qid=1629970145&ref=sr_pg_2,"thanksgiving,thanksgiving day,turkey,holiday,holidays,happy thanksgiving,Thankful,grateful,thanks","Fairy,Name,Stitch,Tinker Bell,Keep Calm,Mickey,Jeep,City,Temper,Pocket,birthday,january,february,march, april,may,june,july,august,september,december,,Boob,Whiskey,Premium,Kids,2020,bitch,bitches,slut,sluts",th5,20
10001,yes,thanksgiving,https://www.amazon.com/s?k=thanksgiving&i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=date-desc-rank&page=101&hidden-keywords=ORCA&qid=1629970145&ref=sr_pg_2,"thanksgiving,thanksgiving day,turkey,holiday,holidays,happy thanksgiving,Thankful,grateful,thanks","Fairy,Name,Stitch,Tinker Bell,Keep Calm,Mickey,Jeep,City,Temper,Pocket,birthday,january,february,march, april,may,june,july,august,september,december,,Boob,Whiskey,Premium,Kids,2020,bitch,bitches,slut,sluts",th6,20
10001,yes,thanksgiving,https://www.amazon.com/s?k=thanksgiving&i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=date-desc-rank&page=121&hidden-keywords=ORCA&qid=1629970145&ref=sr_pg_2,"thanksgiving,thanksgiving day,turkey,holiday,holidays,happy thanksgiving,Thankful,grateful,thanks","Fairy,Name,Stitch,Tinker Bell,Keep Calm,Mickey,Jeep,City,Temper,Pocket,birthday,january,february,march, april,may,june,july,august,september,december,,Boob,Whiskey,Premium,Kids,2020,bitch,bitches,slut,sluts",th7,20
10001,yes,thanksgiving,https://www.amazon.com/s?k=thanksgiving&i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=date-desc-rank&page=141&hidden-keywords=ORCA&qid=1629970145&ref=sr_pg_2,"thanksgiving,thanksgiving day,turkey,holiday,holidays,happy thanksgiving,Thankful,grateful,thanks","Fairy,Name,Stitch,Tinker Bell,Keep Calm,Mickey,Jeep,City,Temper,Pocket,birthday,january,february,march, april,may,june,july,august,september,december,,Boob,Whiskey,Premium,Kids,2020,bitch,bitches,slut,sluts",th8,20
10001,yes,thanksgiving,https://www.amazon.com/s?k=thanksgiving&i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=date-desc-rank&page=161&hidden-keywords=ORCA&qid=1629970145&ref=sr_pg_2,"thanksgiving,thanksgiving day,turkey,holiday,holidays,happy thanksgiving,Thankful,grateful,thanks","Fairy,Name,Stitch,Tinker Bell,Keep Calm,Mickey,Jeep,City,Temper,Pocket,birthday,january,february,march, april,may,june,july,august,september,december,,Boob,Whiskey,Premium,Kids,2020,bitch,bitches,slut,sluts",th9,20
10001,yes,thanksgiving,https://www.amazon.com/s?k=thanksgiving&i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=date-desc-rank&page=181&hidden-keywords=ORCA&qid=1629970145&ref=sr_pg_2,"thanksgiving,thanksgiving day,turkey,holiday,holidays,happy thanksgiving,Thankful,grateful,thanks","Fairy,Name,Stitch,Tinker Bell,Keep Calm,Mickey,Jeep,City,Temper,Pocket,birthday,january,february,march, april,may,june,july,august,september,december,,Boob,Whiskey,Premium,Kids,2020,bitch,bitches,slut,sluts",th10,20
10001,yes,thanksgiving,https://www.amazon.com/s?k=thanksgiving&i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=date-desc-rank&page=201&hidden-keywords=ORCA&qid=1629970145&ref=sr_pg_2,"thanksgiving,thanksgiving day,turkey,holiday,holidays,happy thanksgiving,Thankful,grateful,thanks","Fairy,Name,Stitch,Tinker Bell,Keep Calm,Mickey,Jeep,City,Temper,Pocket,birthday,january,february,march, april,may,june,july,august,september,december,,Boob,Whiskey,Premium,Kids,2020,bitch,bitches,slut,sluts",th11,20
10001,yes,thanksgiving,https://www.amazon.com/s?k=thanksgiving&i=fashion-novelty&rh=p_6%3AATVPDKIKX0DER&s=date-desc-rank&page=221&hidden-keywords=ORCA&qid=1629970145&ref=sr_pg_2,"thanksgiving,thanksgiving day,turkey,holiday,holidays,happy thanksgiving,Thankful,grateful,thanks","Fairy,Name,Stitch,Tinker Bell,Keep Calm,Mickey,Jeep,City,Temper,Pocket,birthday,january,february,march, april,may,june,july,august,september,december,,Boob,Whiskey,Premium,Kids,2020,bitch,bitches,slut,sluts",th12,20
