title,image,url
Men's Slim-Fit Short-Sleeve Crewneck Cotton T-Shirt,https://m.media-amazon.com/images/I/717I-tLdEBS._AC_UL320_.jpg,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0827973RCGJQ047C5UC&url=%2FGoodthreads-Short-Sleeve-Crewneck-Cotton-T-Shirt%2Fdp%2FB06XW4XG7Y%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dshirt%26qid%3D1629786627%26sr%3D8-1-spons%26psc%3D1&qualifier=1629786627&id=7033051335541817&widgetName=sp_atf
"Men's Crew T-Shirts, Multipack",https://m.media-amazon.com/images/I/710o0VupScL._AC_UL320_.jpg,https://www.amazon.com/Gildan-Mens-T-Shirt-Assortment-X-Large/dp/B077ZJXCTS/ref=sr_1_2?dchild=1&keywords=shirt&qid=1629786627&sr=8-2
Men's Regular-Fit Short-Sleeve Pocket Oxford Shirt,https://m.media-amazon.com/images/I/81QMph-NcNL._AC_UL320_.jpg,https://www.amazon.com/Amazon-Essentials-Regular-Fit-Short-Sleeve-Windowpane/dp/B07F2GSKZM/ref=sr_1_omk_3?dchild=1&keywords=shirt&qid=1629786627&sr=8-3
Men's SpotShield Stain Resistant Polo Shirts (Short & Long Sleeve),https://m.media-amazon.com/images/I/51kVGzhBFWL._AC_UL320_.jpg,https://www.amazon.com/Jerzees-Shield-Sleeve-Sport-X-Large/dp/B075M11JGH/ref=sr_1_4?dchild=1&keywords=shirt&qid=1629786627&sr=8-4
Men's Essential-T Short Sleeve T-shirt (4-pack),https://m.media-amazon.com/images/I/71hN+5QN5tL._AC_UL320_.jpg,https://www.amazon.com/Hanes-Comfortsoft-T-Shirt-Black-Large/dp/B00KBZOTKG/ref=sr_1_5?dchild=1&keywords=shirt&qid=1629786627&sr=8-5
Men's Short-Sleeve Work Shirt,https://m.media-amazon.com/images/I/81WjD4sKeSL._AC_UL320_.jpg,https://www.amazon.com/Dickies-Short-Sleeve-Shirt-Black-X-Large/dp/B00YQLGPT4/ref=sr_1_6?dchild=1&keywords=shirt&qid=1629786627&sr=8-6
Amazon Brand - Goodthreads Standard-Fit Long-Sleeve Plaid Poplin Shirt,https://m.media-amazon.com/images/I/91DuImvCy6L._AC_UL320_.jpg,https://www.amazon.com/Goodthreads-Standard-Fit-Long-Sleeve-Large-Scale-Depths/dp/B073VLNK9J/ref=sr_1_7?dchild=1&keywords=shirt&qid=1629786627&sr=8-7
Men's Dress Shirt Slim Fit Non-Iron Herringbone,https://m.media-amazon.com/images/I/719UCSDm-8L._AC_UL320_.jpg,https://www.amazon.com/Calvin-Klein-Dress-Herringbone-Sleeve/dp/B00Q3MX7TK/ref=sr_1_8?dchild=1&keywords=shirt&qid=1629786627&sr=8-8
Men's Classic Jersey T-shirt,https://m.media-amazon.com/images/I/71Fr3MK5seL._AC_UL320_.jpg,https://www.amazon.com/Champion-Classic-T-Shirt-Oatmeal-Heather/dp/B073R28VNZ/ref=sr_1_9?dchild=1&keywords=shirt&qid=1629786627&sr=8-9
Men's Classic Fit Short Sleeve Solid Soft Cotton Polo Shirt,https://m.media-amazon.com/images/I/91LXnm38eFS._AC_UL320_.jpg,https://www.amazon.com/Nautica-Classic-Sleeve-Heather-X-Large/dp/B07HR8GS68/ref=sr_1_10?dchild=1&keywords=shirt&qid=1629786627&sr=8-10
"Men's Tide Point Short Sleeve Shirt | Performance Button Down, Black, X-Large",https://m.media-amazon.com/images/I/61YMrrjCdXL._AC_UL320_.jpg,https://www.amazon.com/HUK-Sleeve-Performance-Button-X-Large/dp/B08DDYGPRX/ref=sr_1_11?dchild=1&keywords=shirt&qid=1629786627&sr=8-11
